,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
201,Entity Resolution with Iterative Blocking,20200203,Steven Euijong Whang,Mingjie Tang,1081,0.07832594463128473,0
202,Entity Resolution with Iterative Blocking,20200203,Steven Euijong Whang,Chunyao Song,787,0.07832594463128473,0
203,Entity Resolution with Iterative Blocking,20200203,Steven Euijong Whang,Manish Kesarwani,1045,0.07631578947368423,0
204,Asynchronous View Maintenance for VLSD Databases,20200204,Parag Agrawal,Jing Wang,960,0.07832594463128473,0
205,Asynchronous View Maintenance for VLSD Databases,20200204,Parag Agrawal,Inah Jeon,922,0.07832594463128473,0
206,Asynchronous View Maintenance for VLSD Databases,20200204,Parag Agrawal,Ling Gu,1023,0.07631578947368423,0
207,Asynchronous View Maintenance for VLSD Databases,20200204,Parag Agrawal,Daniel Schall,800,0.11861504307305325,0
208,Asynchronous View Maintenance for VLSD Databases,20200204,Parag Agrawal,Renata Borovica-Gajic,1180,0.07832594463128473,0
209,Asynchronous View Maintenance for VLSD Databases,20200204,Parag Agrawal,Pericles de Oliveira,1142,0.07832594463128473,0
210,Context-sensitive Ranking for Document Retrieval,20200205,Liang Jeff Chen,Hoang Vu Nguyen,907,0.07631578947368423,0
211,Context-sensitive Ranking for Document Retrieval,20200205,Liang Jeff Chen,Ling Gu,1023,0.11554054054054053,0
212,Context-sensitive Ranking for Document Retrieval,20200205,Liang Jeff Chen,Tanmoy Chakraborty,1246,0.07631578947368423,0
213,Context-sensitive Ranking for Document Retrieval,20200205,Liang Jeff Chen,Mingjie Tang,1081,0.07832594463128473,0
