,result
145,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Yun Chi', 1361, 0.13816209291752768, 3)"
146,"('Fast and Unified Local Search for Random Walk Based K-Nearest-Neighbor Query in Large Graphs', 20200223, 'Yubao Wu', 'Souripriya Das', 1220, 0.12693907690254358, 1)"
147,"('Fast and Unified Local Search for Random Walk Based K-Nearest-Neighbor Query in Large Graphs', 20200223, 'Yubao Wu', 'Yongming Luo', 1344, 0.09191176470588236, 3)"
148,"('Neighborhood Based Fast Graph Search in Large Networks', 20200224, 'Arijit Khan', 'Wenqing Lin', 1299, 0.17245989304812834, 2)"
149,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Gregory Buehrer', 885, 0.1360928987048965, 2)"
150,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Aditya Parameswaran', 689, 0.11534031968814575, 3)"
151,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Theodoros Chondrogiannis', 1253, 0.10118786061802354, 1)"
152,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'Pablo Barrio', 1127, 0.17092319537710166, 2)"
153,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'Damian Bursztyn', 792, 0.14962121212121215, 2)"
154,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'James Cheng', 929, 0.13414423577467055, 3)"
155,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Jiefeng Cheng', 956, 0.18826896916768995, 3)"
156,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Guanfeng Liu', 887, 0.16872873928263246, 2)"
157,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Moritz Kaufmann', 1096, 0.1483163247594393, 2)"
158,"('Local Graph Sparsification for Scalable Clustering', 20200228, 'Venu Satuluri', 'Wenqing Lin', 1299, 0.27556818181818177, 3)"
